drug_description,drug_name,comment
amLODIPine 2.5 MG Oral Tablet,amlodipine,
lisinopril 10 MG Oral Tablet,lisinopril,
Loratadine 5 MG Chewable Tablet,loratadine,
NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,epinephrine,
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],fluticasone propionate,
NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,albuterol,
Ibuprofen 100 MG Oral Tablet,ibuprofen,
Hydrocortisone 10 MG/ML Topical Cream,hydrocortisone,
Naproxen sodium 220 MG Oral Tablet,naproxen,
Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,acetaminophen oxycodone,
Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet,oxycodone,
Acetaminophen 300 MG / HYDROcodone Bitartrate 5 MG Oral Tablet,acetaminophen hydrocodone,
Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,acetaminophen dextromethorphan doxylamine,
Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,amoxicillin clavulanate,
Acetaminophen 325 MG Oral Tablet,acetaminophen,
Acetaminophen 160 MG Chewable Tablet,acetaminophen,
Ibuprofen 200 MG Oral Tablet,ibuprofen,
ferrous sulfate 325 MG Oral Tablet,ferrous,
predniSONE 5 MG Oral Tablet,prednisone,
Natazia 28 Day Pack,natazia day pack,
Levonorgestrel 0.00354 MG/HR Drug Implant,levonorgestrel,
Seasonique 91 Day Pack,seasonique day pack,
Penicillin V Potassium 500 MG Oral Tablet,penicillin v,
piperacillin 2000 MG / tazobactam 250 MG Injection,piperacillin tazobactam,
150 ML vancomycin 5 MG/ML Injection,vancomycin,
4 ML norepinephrine 1 MG/ML Injection,norepinephrine,
Estrostep Fe 28 Day Pack,estrostep fe day pack,
Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,nitroglycerin,
Fexofenadine hydrochloride 60 MG Oral Tablet,fexofenadine,
Ortho Tri-Cyclen 28 Day Pack,ortho tri-cyclen day pack,
1 ML medroxyprogesterone acetate 150 MG/ML Injection,medroxyprogesterone,
Clopidogrel 75 MG Oral Tablet,clopidogrel,
Alteplase 100 MG Injection,alteplase,
Penicillin V Potassium 250 MG Oral Tablet,penicillin v,
Yaz 28 Day Pack,yaz day pack,
Levora 0.15/30 28 Day Pack,levora . day pack,
1 ML heparin sodium  porcine 5000 UNT/ML Injection,heparin porcine,
Sodium Chloride 9 MG/ML Injectable Solution,UNKNOWN,Empty extraction
2 ML Ondansetron 2 MG/ML Injection,ondansetron,
1 ML Morphine Sulfate 5 MG/ML Injection,morphine,
Piperacillin 4000 MG / tazobactam 500 MG Injection,piperacillin tazobactam,
Midazolam 1 MG/ML Injectable Solution,midazolam,
100 ML Propofol 10 MG/ML Injection,propofol,
Rocuronium bromide 10 MG/ML Injectable Solution,rocuronium,
Isoflurane 999 MG/ML Inhalant Solution,isoflurane,
5 ML SUFentanil 0.05 MG/ML Injection,sufentanil,
Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet,acetaminophen oxycodone,
Errin 28 Day Pack,errin day pack,
Captopril 25 MG Oral Tablet,captopril,
Camila 28 Day Pack,camila day pack,
Vitamin B 12 5 MG/ML Injectable Solution,vitamin b,
60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,fluticasone propionate salmeterol,
albuterol 5 MG/ML Inhalation Solution,albuterol,
168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,ethinyl estradiol norelgestromin,
Hydrochlorothiazide 25 MG Oral Tablet,hydrochlorothiazide,
Jolivette 28 Day Pack,jolivette day pack,
Mirena 52 MG Intrauterine System,mirena,
desflurane 1000 MG/ML Inhalation Solution,desflurane,
Amoxicillin 500 MG Oral Tablet,amoxicillin,
Cefuroxime 250 MG Oral Tablet,cefuroxime,
NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal Ring,nuvaring . per day,
Simvastatin 10 MG Oral Tablet,simvastatin,
insulin human  isophane 70 UNT/ML / Regular Insulin  Human 30 UNT/ML Injectable Suspension [Humulin],insulin human isophane regular insulin human,
Acetaminophen 325 MG Oral Tablet [Tylenol],acetaminophen,
levofloxacin 500 MG Oral Tablet,levofloxacin,
Diazepam 5 MG Oral Tablet,diazepam,
Fexofenadine hydrochloride 30 MG Oral Tablet,fexofenadine,
budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort],budesonide,
0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,enoxaparin,
Acetaminophen 500 MG Oral Tablet,acetaminophen,
Astemizole 10 MG Oral Tablet,astemizole,
Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,acetaminophen hydrocodone,
Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet,acetaminophen codeine,
tramadol hydrochloride 50 MG Oral Tablet,tramadol,
diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,diphenhydramine,
24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,metformin,
24hr nicotine transdermal patch,nicotine,
Sertraline 100 MG Oral Tablet,sertraline,
Acetaminophen/Hydrocodone,acetaminophen hydrocodone,
Warfarin Sodium 5 MG Oral Tablet,warfarin,
Verapamil Hydrochloride 40 MG,verapamil,
Digoxin 0.125 MG Oral Tablet,digoxin,
Meperidine Hydrochloride 50 MG Oral Tablet,meperidine,
Liletta 52 MG Intrauterine System,liletta,
Aspirin 81 MG Oral Tablet,aspirin,
Nitrofurantoin 5 MG/ML Oral Suspension,nitrofurantoin,
Phenazopyridine hydrochloride 100 MG Oral Tablet,phenazopyridine,
Trinessa 28 Day Pack,trinessa day pack,
Alendronic acid 10 MG Oral Tablet,alendronic acid,
Galantamine 4 MG Oral Tablet,galantamine,
Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet,acetaminophen hydrocodone,
Amoxicillin 250 MG Oral Capsule,amoxicillin,
Paclitaxel 100 MG Injection,paclitaxel,
1 ML denosumab 60 MG/ML Prefilled Syringe,denosumab,
1 ML Epinephrine 1 MG/ML Injection,epinephrine,
3 ML Amiodarone hydrocholoride 50 MG/ML Prefilled Syringe,amiodarone,
Atropine Sulfate 1 MG/ML Injectable Solution,atropine,
1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe,enoxaparin,
Simvastatin 20 MG Oral Tablet,simvastatin,
Amlodipine 5 MG Oral Tablet,amlodipine,
budesonide 0.125 MG/ML Inhalation Suspension,budesonide,
Ibuprofen 400 MG Oral Tablet [Ibu],ibuprofen,
Etonogestrel 68 MG Drug Implant,etonogestrel,
Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],acetaminophen oxycodone,
NITROFURANTOIN  MACROCRYSTALS 50 MG Oral Capsule,nitrofurantoin macrocrystals,
Terfenadine 60 MG Oral Tablet,terfenadine,
losartan potassium 25 MG Oral Tablet,losartan,
budesonide 0.25 MG/ML Inhalation Suspension,budesonide,
72 HR Fentanyl 0.025 MG/HR Transdermal System,fentanyl,
cetirizine hydrochloride 5 MG Oral Tablet,cetirizine,
Chlorpheniramine Maleate 2 MG/ML Oral Solution,chlorpheniramine,
methadone hydrochloride 10 MG Oral Tablet,methadone,
Leucovorin 100 MG Injection,leucovorin,
10 ML oxaliplatin 5 MG/ML Injection,oxaliplatin,
Azithromycin 250 MG Oral Capsule,azithromycin,
Norinyl 1+50 28 Day Pack,norinyl +day pack,
Mestranol / Norethynodrel [Enovid],mestranol norethynodrel,
Kyleena 19.5 MG Intrauterine System,kyleena,
Furosemide 40 MG Oral Tablet,furosemide,
10 ML Furosemide 10 MG/ML Injection,furosemide,
Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],oxycodone,
12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule,hydrocodone,
buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,buprenorphine naloxone,
